position,tier,overall_rank,first_initial,last_name,team,adp,first_name
WR,3,12,D,Smith,PHI,30.3
WR,3,13,C,Olave,NO,33.6
WR,3,14,T,Higgins,CIN,34.5
WR,3,15,Z,Flowers,BAL,33.6
WR,3,16,J,Waddle,DEN,38.7
WR,4,17,R,Rice,KC,36.7
WR,4,18,T,McMillan,CAR,42.7
WR,4,19,L,McConkey,LAC,44.9
WR,4,20,G,Wilson,NYJ,51.1
WR,4,21,E,Egbuka,TB,45.5
WR,4,22,T,McLaurin,WAS,54.1
WR,4,23,L,Burden,CHI,59.7
WR,4,24,D,Moore,BUF,57.1
WR,4,25,R,Odunze,CHI,64.8
WR,4,26,J,Williams,DET,66.6
WR,4,27,C,Watson,GB,66.4
WR,5,28,P,Washington,JAX,73.2
WR,5,29,D,Adams,LAR,58.8
WR,5,30,M,Evans,SF,69.0
WR,5,31,M,Harrison,ARI,76.6
WR,5,32,B,Thomas,JAX,82.5
WR,5,33,C,Tate,TEN,83.3
WR,5,34,D,Metcalf,PIT,87.1
WR,5,35,M,Wilson,ARI,99.7
WR,5,36,C,Godwin,TB,96.9
WR,5,37,S,Diggs,WAS,100.0
WR,5,38,D,Stribling,SF,113.8
WR,5,39,J,Downs,IND,98.6
WR,5,40,Q,Johnston,LAC,112.9
WR,6,41,J,Addison,MIN,115.5
WR,6,42,J,Reed,GB,118.5
WR,6,43,C,Sutton,DEN,108.1
WR,6,44,A,Pierce,IND,102.8
WR,6,45,M,Pittman,PIT,119.2
WR,6,46,K,Concepcion,CLE,125.7
WR,6,47,M,Golden,GB,127.8
WR,6,48,M,Lemon,PHI,125.1
WR,6,49,J,Coker,CAR,134.5
WR,6,50,J,Meyers,JAX,135.7
WR,6,51,W,Robinson,TEN,133.4
WR,6,52,R,Doubs,NE,134.7
WR,6,53,J,Tyson,NO,108.9
WR,6,54,X,Worthy,KC,134.1
WR,6,55,R,Shaheed,SEA,134.9
WR,7,56,D,Boston,CLE,133.4
WR,7,57,K,Shakir,BUF,135.9
WR,7,58,K,Allen,IND,132.7
WR,7,59,A,Mitchell,NYJ,
WR,7,60,D,Samuel,SF,132.6
